Pet no,Pet Name,Category,Age,lifespan,size,nature,Quantity,Price,photo
1,German Shepherd,Dog,3,12-14 years,Big,Loyal,2,30000,MenuIS\src\/Dashboard/EPPTimgs/Dogs/German shepherd.jpg
2,Rottweiler,Dog,5,12-15 years,Big,Aggressive,1,20000,MenuIS\src/Dashboard/EPPTimgs/Dogs/Rottweiler.jpg
3,Golden Retriever,Dog,5,12-14 years,Medium,Inquisitive,3,25000,MenuIS\src/Dashboard/EPPTimgs/Dogs/Golden retriever.jpg
4,Japanese Spitz,Dog,6,10-12 years,Small,Loyal,4,15000,MenuIS\src/Dashboard/EPPTimgs/Dogs/Japanese spitz.jpg
5,Australian shepherd,Dog,4,8-10 years,Medium,Aggressive,6,70000,MenuIS\src/Dashboard/EPPTimgs/Dogs/Australian shepherd.jpg
6,African golden cat,Cat,5,7-8 years,Small,Inquisitive,8,20000,MenuIS\src/Dashboard/EPPTimgs/Cat/African Golden Cat.jpg
7,Black footed cat,Cat,3,6-8 years,Medium,Passive,9,17000,MenuIS\src/Dashboard/EPPTimgs/Cat/blackfooted.jpg
8,Asian leopard cat,Cat,6,7-8 years,Medium,Aggressive,9,22000,MenuIS\src/Dashboard/EPPTimgs/Cat/Asian Leopard Cat.jpg
9,Borneo clouded cat,Cat,2,5-8 years,Small,Passive,9,21000,MenuIS\src/Dashboard/EPPTimgs/Cat/Borneo clouded.jpg
10,Caracal cat,Cat,3,6-8 years,Medium,Loyal,6,16000,MenuIS\src/Dashboard/EPPTimgs/Cat/Caracal Cat.jpg
11,Arabian horse,Horse,9,25-30 years,Big,Passive,1,150000,MenuIS\src/Dashboard/EPPTimgs/Horse/Arabian horse.jpg
12,Quarter horse,Horse,7,28-32 years,Big,Loyal,2,180000,MenuIS\src/Dashboard/EPPTimgs/Horse/Quarter horse.jpg
13,Thoroughbred horse,Horse,6,25-30 years,Big,Aggressive,3,140000,MenuIS\src/Dashboard/EPPTimgs/Horse/Thoroughbred horse.jpg
